Timestamp,AGE,OCCUPATION,ANNUAL INCOME,CITY,GENDER,INTERESTS,DAILY_HOUR_ONLINE,MOST_TIME_ON,PREV_SUBSCRIPTIONS,SCROLL,ABOUT_US,SUBSCRIBE,SEARCH,CAT_Internet,CAT_Technology,CAT_Finance,CAT_Health,CAT_Society,REGISTER,VOTE_ARTICLE,SHARE_MEDIA,LEAVE
07-09-2021 23:18,22,Student,5000,mumbai,Male,"Sports, Arts & Craft, Books & Movies, Technology and Internet, Current Affairs, Politics and Law, Stocks, Shares & Finances",15,"Instagram, Twitter, Google Browsing",Yes,5,5,3,3,3,4,5,3,2,3,4,3,2
07-09-2021 23:23,21,Business/start-up Owner,0,mumbai,Female,"Sports, Arts & Craft, Music & Dance, Books & Movies",6,"Instagram, Google Browsing",Yes,5,4,3,2,5,3,1,2,2,2,4,5,1
07-09-2021 23:39,32,IT,1000000,Mumbai,Male,"Sports, Technology and Internet",6,"Instagram, Facebook, Google Browsing",No,5,4,3,3,3,3,3,4,3,3,5,4,1
07-09-2021 23:39,21,Student,0,Mumbai,Female,"Sports, Music & Dance, Books & Movies",10,"Instagram, Google Browsing",Yes,3,1,1,2,4,3,2,5,3,3,2,3,5
07-09-2021 23:55,23,Student,0,Mumbai,Female,"Sports, Music & Dance, Stocks, Shares & Finances",3,"Instagram, Google Browsing",No,5,5,4,3,4,4,4,4,4,4,4,4,4
07-09-2021 23:55,21,Freelancer,60000,Mumbai,Female,"Arts & Craft, Music & Dance, Books & Movies, Technology and Internet",9,"Instagram, Facebook, Google Browsing",No,3,2,4,3,5,5,4,5,4,5,5,3,1
07-10-2021 00:07,22,Unemployed,0,Mumbai,Female,"Books & Movies, Technology and Internet, Stocks, Shares & Finances",8,"Instagram, Facebook, Google Browsing, YouTube",No,5,4,1,2,2,2,2,2,2,1,1,1,1
07-10-2021 00:07,23,Unemployed,0,Mumbai,Male,"Sports, Music & Dance, Technology and Internet",2,Instagram,No,5,5,5,5,5,5,5,5,5,5,5,5,4
07-10-2021 00:15,22,Student,0,Thane,Male,Music & Dance,6,Instagram,No,4,4,4,4,4,4,4,4,4,4,4,4,4
07-10-2021 00:19,19,Student,0,Mumbai,Female,"Arts & Craft, Music & Dance, Books & Movies, Technology and Internet, Current Affairs",4,"Instagram, Google Browsing",No,5,2,2,4,3,1,4,4,5,2,4,4,1
